User_ID,Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests
27,25-34,Female,Suburban,Hindi,Technical,5773,230,Tablet,0.5,5.5,0.04,0.037,138,20k-40k,"Fashion Modelling, Reading and Literature"
28,35-44,Male,Suburban,English,High School,3224,350,Tablet,4.5,7.1,0.03,0.005,61,0-20k,"Investing and Finance, DIY Crafts, Reading and Literature, Fashion Modelling"
29,35-44,Male,Suburban,English,Technical,8771,246,Mobile + Desktop,2.8,1.6,0.19,0.076,96,60k-80k,"Data Science, Reading and Literature, DIY Crafts, Pet Care"
30,18-24,Female,Suburban,Hindi,PhD,1453,246,Mobile Only,1.7,7.4,0.232,0.07,85,20k-40k,"Digital Marketing, Software Engineering"
31,45-54,Male,Urban,Mandarin,Technical,9181,228,Mobile + Desktop,4,3.1,0.115,0.06,151,0-20k,"Travel and Adventure, Photography, Fitness and Wellness"
32,25-34,Male,Suburban,Spanish,Master,3954,496,Desktop Only,4.7,4.4,0.165,0.049,131,20k-40k,"Fitness and Wellness, Eco-Friendly Living, DIY Crafts"
33,18-24,Female,Urban,Spanish,Master,8234,433,Mobile + Desktop,2.7,4.1,0.229,0.003,163,100k+,"Pet Care, DIY Crafts, Digital Marketing, Investing and Finance"
34,55-64,Male,Urban,English,Technical,1024,470,Tablet,1.9,6.3,0.023,0.062,79,40k-60k,Gaming
35,65+,Female,Suburban,Spanish,Master,2270,160,Mobile + Desktop,4.1,3.9,0.193,0.042,83,60k-80k,Data Science
36,55-64,Male,Urban,English,PhD,5606,132,Mobile Only,3.6,7.6,0.154,0.056,14,60k-80k,"Music Production, DIY Crafts"
37,25-34,Female,Rural,Spanish,Bachelor,2495,153,Desktop Only,4.5,7.3,0.15,0.043,111,40k-60k,"Investing and Finance, DIY Crafts"
38,18-24,Female,Suburban,Hindi,Master,8320,487,Mobile + Desktop,3.6,7.1,0.073,0.097,91,20k-40k,"Pet Care, Reading and Literature, Music Production, Eco-Friendly Living"
39,45-54,Female,Urban,English,Master,8326,198,Mobile Only,1.6,1.5,0.171,0.06,71,0-20k,"Digital Marketing, Reading and Literature, Eco-Friendly Living, Data Science"
40,35-44,Female,Suburban,English,Technical,5615,264,Mobile + Desktop,4.7,7,0.199,0.075,66,80k-100k,"Digital Marketing, Pet Care, Travel and Adventure"
41,18-24,Male,Suburban,Hindi,PhD,2770,77,Desktop Only,1,6.5,0.028,0.094,135,60k-80k,Pet Care
42,35-44,Female,Suburban,English,Bachelor,3465,113,Mobile + Desktop,1.7,1.7,0.133,0.059,150,0-20k,"Music Production, Digital Marketing, Software Engineering"
43,18-24,Female,Urban,Spanish,Technical,688,345,Tablet,2.8,1.8,0.025,0.001,157,0-20k,Investing and Finance
44,55-64,Female,Rural,Spanish,Technical,3238,168,Mobile + Desktop,3,1.7,0.218,0.003,111,80k-100k,"Travel and Adventure, Music Production, Gourmet Cooking, Eco-Friendly Living"
45,25-34,Female,Rural,English,PhD,9195,318,Mobile Only,0.6,1.1,0.127,0.07,152,80k-100k,Digital Marketing
46,45-54,Male,Urban,Spanish,Bachelor,6763,371,Mobile + Desktop,4,4.8,0.202,0.028,97,100k+,"Travel and Adventure, Eco-Friendly Living"
47,25-34,Male,Suburban,Mandarin,PhD,4186,418,Mobile Only,2.1,7.8,0.092,0.058,90,0-20k,"Reading and Literature, Data Science"
48,35-44,Male,Urban,English,Bachelor,8631,309,Desktop Only,2.3,4.1,0.031,0.02,125,0-20k,"Digital Marketing, Eco-Friendly Living"
49,35-44,Male,Urban,Hindi,PhD,4370,405,Mobile + Desktop,4.1,4.8,0.01,0.027,83,100k+,"Photography, DIY Crafts"
50,25-34,Female,Urban,Mandarin,Technical,6119,99,Desktop Only,2.2,7.8,0.07,0.05,14,60k-80k,"Digital Marketing, Fitness and Wellness, Pet Care, DIY Crafts"
51,65+,Male,Suburban,English,Technical,656,366,Desktop Only,0.7,2.8,0.061,0.098,153,100k+,"Fitness and Wellness, Travel and Adventure"
52,45-54,Male,Urban,Hindi,High School,8122,265,Mobile + Desktop,1.3,7,0.14,0.062,33,100k+,Investing and Finance
53,55-64,Female,Suburban,Spanish,Master,5552,362,Mobile Only,4.8,4.8,0.005,0.094,100,80k-100k,Photography
54,55-64,Female,Urban,Hindi,PhD,3667,229,Desktop Only,0.8,5,0.13,0.096,14,80k-100k,"Pet Care, Fashion Modelling, Digital Marketing"
55,35-44,Male,Rural,Mandarin,High School,3999,18,Desktop Only,2.1,3.4,0.098,0.021,17,20k-40k,Music Production
56,55-64,Male,Urban,Spanish,Master,6577,21,Mobile + Desktop,2.8,4.9,0.144,0.031,51,60k-80k,Software Engineering
57,18-24,Female,Urban,English,PhD,7600,334,Mobile + Desktop,2.7,1.5,0.176,0.077,155,80k-100k,"Music Production, Investing and Finance"
58,25-34,Male,Rural,Spanish,Bachelor,1116,447,Mobile + Desktop,0.5,6.4,0.159,0.087,54,40k-60k,"Travel and Adventure, DIY Crafts"
59,18-24,Male,Suburban,English,Master,6570,253,Mobile + Desktop,2.8,3,0.246,0.052,136,60k-80k,"DIY Crafts, Gourmet Cooking"
60,25-34,Female,Suburban,English,Technical,2162,191,Mobile + Desktop,2.2,7.2,0.035,0.099,120,60k-80k,Gourmet Cooking
61,25-34,Male,Urban,Hindi,High School,9130,293,Tablet,4.9,3.6,0.107,0.001,117,100k+,Reading and Literature
62,25-34,Male,Rural,Hindi,Master,9929,321,Mobile + Desktop,1.2,2,0.106,0.03,89,0-20k,"Music Production, Investing and Finance, Data Science, Digital Marketing"
63,55-64,Male,Suburban,Hindi,Master,4421,108,Mobile Only,2.1,5.9,0.104,0.062,57,80k-100k,"Travel and Adventure, Data Science, Pet Care"
64,25-34,Male,Urban,Mandarin,Technical,3596,206,Desktop Only,2.4,2.2,0.166,0.047,134,40k-60k,"Gaming, Travel and Adventure, Music Production, Investing and Finance"
65,25-34,Female,Rural,Mandarin,PhD,1913,491,Mobile Only,2.3,6.3,0.122,0.012,72,40k-60k,"Gaming, Gardening"
66,35-44,Male,Suburban,Hindi,Bachelor,6356,375,Mobile Only,3.5,7.8,0.129,0.037,83,0-20k,"Investing and Finance, Music Production, Travel and Adventure, DIY Crafts"
67,18-24,Female,Suburban,Mandarin,Technical,9743,235,Tablet,1.5,6.5,0.108,0.003,61,80k-100k,"Gardening, Investing and Finance, Reading and Literature"
68,55-64,Male,Rural,Spanish,Bachelor,2413,342,Mobile + Desktop,1.5,1.2,0.248,0.064,101,40k-60k,Music Production
69,18-24,Male,Rural,Spanish,PhD,9806,112,Desktop Only,3.8,5.2,0.232,0.089,139,0-20k,"Music Production, Fashion Modelling"
70,65+,Female,Rural,Mandarin,Master,1331,115,Mobile Only,2.8,5.9,0.077,0.088,151,60k-80k,Investing and Finance
71,45-54,Female,Rural,Mandarin,Bachelor,9937,374,Mobile + Desktop,2.4,6.8,0.028,0.07,176,20k-40k,"Fitness and Wellness, Pet Care"
72,25-34,Male,Urban,Spanish,High School,5931,377,Mobile + Desktop,1.3,1.4,0.21,0.047,67,20k-40k,"Fitness and Wellness, Gardening, DIY Crafts, Music Production"
73,18-24,Male,Rural,English,High School,3099,67,Tablet,1.3,4.4,0.249,0.051,69,80k-100k,"Eco-Friendly Living, Travel and Adventure, Software Engineering"
74,55-64,Female,Suburban,Spanish,Technical,3540,87,Tablet,0.5,4.7,0.073,0.014,43,40k-60k,"Fitness and Wellness, Software Engineering, Gourmet Cooking"
75,45-54,Female,Suburban,Spanish,PhD,4156,84,Tablet,0.9,2.2,0.089,0.034,113,80k-100k,Gaming
76,45-54,Female,Urban,Mandarin,Technical,405,51,Desktop Only,3,3.3,0.235,0.019,30,60k-80k,Travel and Adventure
77,45-54,Male,Suburban,Spanish,Technical,1789,431,Mobile Only,4.5,4.1,0.178,0.082,176,100k+,"Gardening, Software Engineering, Pet Care"
78,18-24,Male,Suburban,Mandarin,Technical,9809,333,Tablet,1.8,6.8,0.074,0.091,16,60k-80k,"Gaming, Fitness and Wellness"
79,25-34,Female,Rural,Mandarin,High School,4017,190,Tablet,2,7.5,0.145,0.054,154,80k-100k,"Investing and Finance, Photography, Reading and Literature, Digital Marketing"
80,18-24,Female,Suburban,Hindi,High School,7180,42,Tablet,1,5.4,0.236,0.073,81,20k-40k,"Investing and Finance, Gaming"
81,55-64,Male,Urban,Spanish,Technical,8711,80,Mobile Only,2.2,3.8,0.203,0.012,146,40k-60k,"Music Production, Digital Marketing, Reading and Literature, Fashion Modelling"
82,45-54,Female,Rural,English,High School,3036,65,Mobile Only,0.7,2.8,0.185,0.061,90,40k-60k,"Gourmet Cooking, Photography, Software Engineering, Digital Marketing"
83,25-34,Female,Rural,Hindi,PhD,3962,114,Tablet,4.6,7.9,0.184,0.07,34,20k-40k,"Fitness and Wellness, Eco-Friendly Living, Reading and Literature"
84,18-24,Male,Urban,Mandarin,Technical,9742,209,Tablet,3.5,7.9,0.045,0.045,176,100k+,"Eco-Friendly Living, Data Science, Music Production, DIY Crafts"
85,25-34,Female,Rural,Mandarin,High School,5749,110,Mobile + Desktop,5,7.5,0.206,0.024,170,40k-60k,"DIY Crafts, Eco-Friendly Living, Reading and Literature"
86,25-34,Male,Rural,English,Bachelor,3361,265,Tablet,4.5,6.5,0.069,0.088,174,60k-80k,"Digital Marketing, Gourmet Cooking, Eco-Friendly Living, Music Production"
87,45-54,Male,Urban,Mandarin,Technical,9456,316,Desktop Only,2.6,3.3,0.233,0.074,56,100k+,"Pet Care, Digital Marketing"
88,45-54,Female,Rural,Spanish,Technical,1919,83,Desktop Only,2.8,6.7,0.091,0.09,67,0-20k,"Software Engineering, Digital Marketing, Travel and Adventure"
89,55-64,Female,Urban,Hindi,PhD,1442,180,Tablet,1.4,3.9,0.214,0.082,124,80k-100k,"Digital Marketing, Investing and Finance"
90,35-44,Male,Urban,Mandarin,Master,5660,386,Mobile Only,2.6,3.3,0.067,0.099,109,80k-100k,Travel and Adventure
91,18-24,Male,Suburban,Mandarin,Master,2326,152,Mobile + Desktop,4.6,6.2,0.129,0.019,166,100k+,"Eco-Friendly Living, DIY Crafts, Digital Marketing, Fitness and Wellness"
92,45-54,Female,Suburban,English,PhD,1179,175,Mobile Only,0.7,1.6,0.027,0.009,43,40k-60k,Gardening
93,45-54,Male,Rural,Spanish,PhD,4306,408,Tablet,4.4,1.3,0.165,0.034,45,0-20k,"DIY Crafts, Pet Care, Reading and Literature, Digital Marketing"
94,35-44,Male,Rural,Mandarin,PhD,6380,270,Desktop Only,2,4.1,0.209,0.013,125,0-20k,Fitness and Wellness
95,45-54,Female,Urban,English,Master,7335,230,Mobile + Desktop,4.5,4.1,0.18,0.052,112,100k+,"Photography, Pet Care"
96,35-44,Male,Rural,Mandarin,PhD,913,92,Mobile Only,4.7,7.3,0.131,0.063,169,40k-60k,"Pet Care, Gourmet Cooking, Software Engineering, Reading and Literature"
97,35-44,Male,Urban,English,High School,5189,191,Mobile Only,3.5,1.9,0.011,0.058,69,80k-100k,"Digital Marketing, Software Engineering"
98,35-44,Female,Urban,English,Technical,2131,316,Tablet,3.5,1.9,0.233,0.026,122,60k-80k,"Photography, Fitness and Wellness, Eco-Friendly Living"
99,18-24,Female,Rural,Spanish,Technical,8614,19,Mobile + Desktop,2.5,2,0.176,0.091,83,40k-60k,"Gourmet Cooking, Fitness and Wellness"
100,18-24,Male,Urban,Mandarin,Bachelor,9195,405,Desktop Only,4.3,1.2,0.186,0.002,164,40k-60k,Photography
101,18-24,Male,Suburban,Spanish,Bachelor,9833,13,Tablet,4.8,1.5,0.199,0.035,12,40k-60k,"DIY Crafts, Gardening, Fashion Modelling"
102,45-54,Female,Rural,English,Technical,6011,360,Mobile + Desktop,4,5.6,0.187,0.072,101,0-20k,Gourmet Cooking
103,25-34,Male,Suburban,Hindi,High School,2753,411,Mobile Only,3.3,4,0.11,0.077,22,60k-80k,"Gardening, Investing and Finance, Fashion Modelling, Data Science"
104,35-44,Female,Rural,Mandarin,Master,3440,345,Tablet,3.2,6.3,0.183,0.042,177,60k-80k,Travel and Adventure
105,55-64,Female,Urban,Hindi,Master,7976,497,Mobile Only,4.3,7.9,0.156,0.002,100,80k-100k,Investing and Finance
106,25-34,Male,Rural,Mandarin,High School,1241,301,Mobile Only,2.9,5.6,0.214,0.062,37,100k+,Music Production
107,35-44,Female,Suburban,Spanish,Master,9141,290,Tablet,4.1,1.4,0.201,0.006,9,0-20k,"Music Production, Reading and Literature"
108,45-54,Female,Urban,Spanish,PhD,8658,224,Tablet,2.8,1.7,0.01,0.011,131,80k-100k,"Pet Care, DIY Crafts"
109,25-34,Male,Rural,Spanish,Technical,2997,469,Tablet,0.8,7.2,0.095,0.065,78,40k-60k,"Investing and Finance, Fashion Modelling"
110,18-24,Male,Rural,Spanish,Technical,9381,107,Tablet,2.2,4.7,0.009,0.031,130,80k-100k,"Music Production, Reading and Literature, Photography"
111,25-34,Male,Rural,Spanish,High School,4141,429,Tablet,2.5,6.8,0.026,0.035,168,0-20k,"Fashion Modelling, Pet Care, Software Engineering"
112,25-34,Female,Suburban,Hindi,Master,2138,110,Mobile Only,1.1,7,0.15,0.049,155,100k+,"Pet Care, Gaming, Gardening"
113,55-64,Female,Suburban,Spanish,Bachelor,4370,460,Desktop Only,1,7.5,0.218,0.098,172,80k-100k,Gaming
114,55-64,Male,Rural,English,Bachelor,4783,18,Desktop Only,2.9,7.6,0.03,0.097,9,20k-40k,"Pet Care, Reading and Literature, Photography"
115,45-54,Male,Urban,English,Master,594,70,Tablet,0.9,4.9,0.113,0.042,38,20k-40k,"Software Engineering, Pet Care"
116,55-64,Female,Urban,Hindi,Bachelor,7216,318,Mobile Only,1.9,3.4,0.228,0.027,28,40k-60k,"Gaming, Data Science, Fitness and Wellness, Pet Care"
117,55-64,Female,Suburban,Mandarin,High School,1884,155,Desktop Only,3.9,7.7,0.204,0.03,149,80k-100k,"Data Science, Pet Care"
118,25-34,Male,Urban,English,High School,3610,436,Desktop Only,4.8,4.8,0.13,0.027,99,60k-80k,"Music Production, Gaming, Pet Care"
119,55-64,Male,Suburban,Mandarin,Master,3886,428,Desktop Only,3.7,1.4,0.193,0.053,75,80k-100k,Travel and Adventure
120,35-44,Female,Rural,Hindi,Bachelor,5366,72,Mobile Only,5,5.5,0.131,0.061,96,100k+,Data Science
121,55-64,Male,Suburban,Mandarin,High School,9290,130,Tablet,3.6,5.1,0.04,0.049,129,60k-80k,"Reading and Literature, Digital Marketing, Travel and Adventure, Software Engineering"
122,55-64,Male,Suburban,Mandarin,High School,5528,235,Tablet,1.8,7.3,0.031,0.041,26,100k+,Eco-Friendly Living
123,25-34,Female,Rural,Mandarin,PhD,6781,114,Tablet,3.5,5.6,0.047,0.021,19,100k+,"Gaming, Fashion Modelling, Software Engineering, Music Production"
124,18-24,Male,Urban,Mandarin,PhD,6993,471,Mobile + Desktop,3.7,3.4,0.088,0.048,105,80k-100k,"DIY Crafts, Investing and Finance, Gaming, Photography"
125,25-34,Female,Suburban,Hindi,High School,9743,269,Mobile + Desktop,2.2,7.8,0.233,0.034,19,0-20k,"Digital Marketing, Gardening"
126,35-44,Female,Suburban,English,Master,4758,358,Mobile + Desktop,0.6,6.6,0.2,0.054,157,60k-80k,"Gardening, Pet Care, Fitness and Wellness"
127,55-64,Male,Rural,Spanish,Technical,7182,434,Mobile Only,3.7,5.4,0.108,0.068,57,0-20k,"Gardening, Software Engineering, DIY Crafts, Travel and Adventure"
128,55-64,Female,Urban,Mandarin,Technical,6969,264,Desktop Only,0.6,3.1,0.123,0.063,153,40k-60k,"Eco-Friendly Living, Data Science, Digital Marketing"
129,18-24,Female,Suburban,English,High School,7707,438,Desktop Only,3.3,3.6,0.066,0.046,106,40k-60k,"Gaming, Software Engineering, Data Science"
130,35-44,Female,Rural,English,High School,7769,443,Mobile Only,1.2,5.7,0.176,0.056,117,80k-100k,"Photography, Fashion Modelling, Travel and Adventure"
131,35-44,Male,Suburban,Hindi,High School,6319,216,Mobile Only,3,1.5,0.201,0.028,36,60k-80k,Investing and Finance
132,25-34,Male,Rural,English,Master,4634,37,Tablet,2.8,2.8,0.06,0.002,25,20k-40k,"DIY Crafts, Gourmet Cooking, Pet Care"
133,18-24,Female,Urban,Hindi,PhD,6079,179,Tablet,0.6,6,0.01,0.063,176,0-20k,"Data Science, Fitness and Wellness"
134,25-34,Male,Urban,Mandarin,High School,8990,345,Mobile + Desktop,2.1,4.4,0.156,0.025,87,0-20k,"Data Science, Gaming, Photography"
135,55-64,Male,Urban,Mandarin,High School,1412,85,Mobile + Desktop,3.2,3.8,0.141,0.067,18,60k-80k,"Fashion Modelling, Photography"
136,25-34,Male,Urban,Spanish,Bachelor,3062,125,Mobile Only,4.3,2.1,0.101,0.075,19,0-20k,"Software Engineering, Gourmet Cooking, Investing and Finance, Reading and Literature"
137,35-44,Male,Suburban,Spanish,Master,3038,78,Mobile + Desktop,4.5,4.1,0.161,0.092,152,40k-60k,"Eco-Friendly Living, Music Production, DIY Crafts, Gaming"
138,45-54,Female,Suburban,Spanish,High School,3297,363,Desktop Only,2.7,6.4,0.138,0.096,38,0-20k,Gardening
139,25-34,Male,Urban,English,Bachelor,5396,243,Mobile Only,3.8,2.8,0.063,0.001,168,20k-40k,"Music Production, Gaming"
140,65+,Female,Urban,Mandarin,Technical,7304,10,Mobile Only,1.9,1,0.099,0.099,87,60k-80k,Digital Marketing
141,65+,Male,Urban,Hindi,High School,5830,176,Desktop Only,2,5.7,0.107,0.068,13,20k-40k,"DIY Crafts, Gardening"
142,25-34,Male,Suburban,Spanish,High School,226,361,Tablet,1.4,7.8,0.22,0.064,162,80k-100k,Fitness and Wellness
143,35-44,Male,Urban,Hindi,Bachelor,5702,227,Tablet,3,5.2,0.24,0.002,81,60k-80k,"Fashion Modelling, Eco-Friendly Living, DIY Crafts"
144,25-34,Male,Urban,Hindi,Master,1291,282,Desktop Only,1.9,1.8,0.223,0.086,167,40k-60k,"Music Production, Eco-Friendly Living, Reading and Literature"
145,25-34,Female,Urban,Spanish,High School,2739,377,Desktop Only,0.9,3.2,0.18,0.015,145,60k-80k,Digital Marketing
146,18-24,Female,Rural,Mandarin,Technical,1466,260,Mobile + Desktop,3.6,7.1,0.146,0.084,178,100k+,"Gardening, Software Engineering"
147,45-54,Male,Urban,Spanish,High School,9311,356,Mobile Only,3.7,2.6,0.172,0.002,13,40k-60k,"Photography, Software Engineering"
148,35-44,Female,Rural,Hindi,Technical,6553,353,Mobile + Desktop,2.1,5.3,0.235,0.065,40,0-20k,"Gardening, Software Engineering, Data Science, Fashion Modelling"
149,18-24,Male,Rural,Spanish,PhD,6771,428,Desktop Only,0.8,3.8,0.062,0.043,121,0-20k,"Fitness and Wellness, Reading and Literature, Travel and Adventure"
150,25-34,Male,Urban,Hindi,PhD,6783,183,Mobile + Desktop,2.4,2.5,0.134,0.02,7,0-20k,Pet Care
151,55-64,Female,Rural,Hindi,Technical,4639,179,Desktop Only,2.5,6.7,0.172,0.011,23,40k-60k,Gaming
152,25-34,Female,Urban,Spanish,Master,8976,255,Mobile + Desktop,3.5,6.2,0.17,0.044,160,20k-40k,Gourmet Cooking
153,18-24,Male,Suburban,English,High School,2987,432,Mobile + Desktop,1.9,5.6,0.063,0.012,27,40k-60k,"Music Production, Data Science, Reading and Literature"
154,35-44,Male,Suburban,Spanish,High School,9754,99,Tablet,3.6,2.7,0.147,0.049,108,20k-40k,Digital Marketing
155,65+,Female,Suburban,English,PhD,4186,58,Desktop Only,4.4,1.7,0.199,0.063,139,100k+,"Gourmet Cooking, Digital Marketing, Fitness and Wellness, Music Production"
156,25-34,Female,Suburban,Hindi,Technical,2361,455,Mobile + Desktop,1.6,5,0.119,0.083,109,100k+,"Reading and Literature, Pet Care"
157,45-54,Female,Rural,Hindi,High School,4280,303,Mobile Only,4.9,4.9,0.198,0.068,146,100k+,"Pet Care, Gardening, Gaming, DIY Crafts"
158,45-54,Female,Urban,English,High School,2941,416,Mobile + Desktop,2.2,2.3,0.09,0.007,50,80k-100k,"Gourmet Cooking, Eco-Friendly Living, Data Science, Gaming"
159,25-34,Female,Urban,Hindi,Master,6140,159,Mobile + Desktop,1.7,1.4,0.235,0.031,147,60k-80k,"Eco-Friendly Living, Digital Marketing"
160,45-54,Male,Urban,English,Bachelor,3660,141,Mobile Only,2.4,1.6,0.133,0.029,19,20k-40k,Software Engineering
161,25-34,Male,Suburban,English,PhD,4858,442,Desktop Only,0.9,7.9,0.149,0.092,55,100k+,"Reading and Literature, Software Engineering, Gaming"
162,45-54,Male,Suburban,Hindi,PhD,726,68,Tablet,1.1,6.5,0.008,0.087,114,40k-60k,"Pet Care, Software Engineering"
163,45-54,Female,Urban,Mandarin,Bachelor,5114,466,Tablet,2.4,7.5,0.043,0.037,12,100k+,Gourmet Cooking
164,35-44,Female,Suburban,English,High School,1475,333,Tablet,3.9,2.4,0.158,0.007,73,80k-100k,"Digital Marketing, Fitness and Wellness, Fashion Modelling, Music Production"
165,18-24,Female,Urban,Spanish,Master,1281,208,Mobile Only,4.6,7.7,0.105,0.089,67,60k-80k,"Digital Marketing, Music Production, Gaming"
166,55-64,Female,Urban,Spanish,Master,5808,224,Mobile + Desktop,3.5,2,0.127,0.089,72,40k-60k,"Data Science, DIY Crafts, Reading and Literature"
167,25-34,Female,Urban,Hindi,PhD,590,395,Desktop Only,1,4.6,0.016,0.085,148,20k-40k,Fashion Modelling
168,25-34,Female,Urban,Mandarin,Master,3829,58,Mobile + Desktop,3.5,6.8,0.209,0.085,156,20k-40k,DIY Crafts
169,18-24,Male,Urban,Hindi,Bachelor,6074,481,Tablet,3.4,3.4,0.196,0.048,10,80k-100k,Investing and Finance
170,35-44,Female,Urban,Mandarin,High School,3634,241,Mobile + Desktop,4.1,4,0.046,0.018,123,80k-100k,"Gourmet Cooking, Travel and Adventure, Gardening, Gaming"
171,45-54,Female,Urban,English,Bachelor,3396,256,Mobile Only,4.2,1.9,0.159,0.048,61,0-20k,"Fashion Modelling, Fitness and Wellness, Investing and Finance, Data Science"
172,18-24,Male,Suburban,English,Technical,2040,391,Mobile Only,4.4,1.9,0.205,0.049,35,20k-40k,"Reading and Literature, Gourmet Cooking"
173,35-44,Female,Urban,English,PhD,5114,488,Desktop Only,2.4,5.3,0.16,0.049,10,40k-60k,"Travel and Adventure, Fitness and Wellness, Photography, Digital Marketing"
174,25-34,Male,Urban,English,Master,1982,248,Desktop Only,3.6,5.7,0.078,0.054,161,20k-40k,Software Engineering
175,45-54,Female,Suburban,Spanish,Technical,5008,424,Tablet,1.7,6.4,0.164,0.026,71,20k-40k,"Pet Care, Software Engineering, Music Production"
176,25-34,Male,Suburban,Spanish,Master,3087,376,Desktop Only,5,4.9,0.053,0.037,135,80k-100k,Gaming
177,45-54,Female,Suburban,Hindi,High School,5685,177,Mobile + Desktop,1.3,5.5,0.08,0.043,160,0-20k,"Music Production, Gaming"
178,25-34,Female,Urban,Mandarin,High School,3259,57,Mobile Only,0.5,1.1,0.06,0.013,78,80k-100k,"Photography, Fashion Modelling"
179,55-64,Male,Rural,English,High School,4630,60,Mobile Only,1.2,2.1,0.139,0.046,118,0-20k,"Fashion Modelling, Software Engineering"
180,18-24,Male,Rural,English,Master,781,308,Mobile Only,4,7.9,0.027,0.081,101,40k-60k,"Gardening, Software Engineering, Gaming"
